number,zip_file,bill_file,act_file,bill_url,act_url,status
38,AMENDMENT_38_01081975.zip,MISSING,AMENDMENT_38_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030225.pdf,MISSING_BILL
39,AMENDMENT_39_10081975.zip,MISSING,AMENDMENT_39_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030253.pdf,MISSING_BILL
40,AMENDMENT_40_27051976.zip,MISSING,AMENDMENT_40_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030231-2.pdf,MISSING_BILL
41,AMENDMENT_41_07091976.zip,MISSING,AMENDMENT_41_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030240-1.pdf,MISSING_BILL
42,AMENDMENT_42_01041977.zip,MISSING,AMENDMENT_42_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030290.pdf,MISSING_BILL
43,AMENDMENT_43_13041978.zip,MISSING,AMENDMENT_43_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030288-1.pdf,MISSING_BILL
44,AMENDMENT_44_06091979.zip,MISSING,AMENDMENT_44_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030242-2.pdf,MISSING_BILL
45,AMENDMENT_45_25011980.zip,MISSING,AMENDMENT_45_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030234.pdf,MISSING_BILL
46,AMENDMENT_46_02021983.zip,MISSING,AMENDMENT_46_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030250-1.pdf,MISSING_BILL
47,AMENDMENT_47_26081984.zip,MISSING,AMENDMENT_47_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030271-1.pdf,MISSING_BILL
48,AMENDMENT_48_01041985.zip,MISSING,AMENDMENT_48_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030293.pdf,MISSING_BILL
49,AMENDMENT_49_11091984.zip,MISSING,AMENDMENT_49_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030262.pdf,MISSING_BILL
